# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
31                      	2.5791372919475558e-02	1.5422540200260775e-02	1.0368832719214779e-02	-3.1281535923204838e-04	-7.7872182565780652e-05	-2.3494317666626773e-04	7.8535497050243540e-05	2.5268537405229979e-03	-1.2279952364417835e-02	1.7732149137344941e-01	7.6380793322306864e-02	1.0094069805114253e-01
32                      	2.4453304063297661e-02	1.4770705613012875e-02	9.6825984502847857e-03	-2.9483548593467853e-04	-9.3764385639160178e-05	-2.0107110029551832e-04	5.3653357328179086e-05	2.5440535813640460e-03	-1.2679444551364006e-02	1.7752059227213457e-01	7.6080851584703277e-02	1.0143974068743131e-01
33                      	2.3189319971647450e-02	1.4208469629845056e-02	8.9808503418023940e-03	-4.1762364965451204e-04	-2.4424358989968791e-04	-1.7338005975482413e-04	-3.5431765072431901e-05	2.6138096440213310e-03	-1.3047711269518633e-02	1.7771095978933388e-01	7.5807768625148306e-02	1.0190319116418557e-01
34                      	2.2452251952813179e-02	1.3920181919749929e-02	8.5320700330632493e-03	-5.9035654346862047e-04	-4.3956924435444315e-04	-1.5078729911417732e-04	-1.4439097262013292e-04	2.6940559433433387e-03	-1.3257117940056524e-02	1.7781944534392785e-01	7.5652604731907408e-02	1.0216684061202046e-01
35                      	2.2455044548246674e-02	1.3975990502975499e-02	8.4790540452711755e-03	-7.2591844677730502e-04	-5.9574973829600063e-04	-1.3016870848130442e-04	-2.3279051490734812e-04	2.7484682288521608e-03	-1.3251360430905624e-02	1.7782523666888836e-01	7.5661257903538545e-02	1.0216397876534980e-01
36                      	2.2947784910483417e-02	1.4238897868258819e-02	8.7088870422245990e-03	-7.8938998770844491e-04	-6.7542426344681383e-04	-1.1396572426163108e-04	-2.8072926959259138e-04	2.7650054130171093e-03	-1.3108230869060948e-02	1.7776104511569579e-01	7.5772291688786936e-02	1.0198875342690886e-01
37                      	2.3622954592729291e-02	1.4541585984372454e-02	9.0813686083568400e-03	-7.2350106885839412e-04	-6.4690010828759173e-04	-7.6600960570802362e-05	-2.8514957385839467e-04	2.7301086880078076e-03	-1.2919106124223735e-02	1.7768179629066488e-01	7.5921792021108700e-02	1.0176000426955618e-01
38                      	2.4126069601986724e-02	1.4724538875814982e-02	9.4015307261717425e-03	-5.6736492622453901e-04	-5.3551078747116022e-04	-3.1854138753378711e-05	-2.5182832435889077e-04	2.6615040748216197e-03	-1.2784761188884200e-02	1.7763126870757495e-01	7.6030873164903270e-02	1.0160039554267168e-01
39                      	2.4320610098381799e-02	1.4750703040856142e-02	9.5699070575256569e-03	-3.9730709082769905e-04	-3.9744910695776374e-04	1.4201613006466370e-07	-1.9879556154391419e-04	2.5903979916652416e-03	-1.2741033413611626e-02	1.7762483491645725e-01	7.6071384044616996e-02	1.0155345087184026e-01
40                      	2.4138273476480156e-02	1.4611629608021771e-02	9.5266438684583864e-03	-2.7685209239307812e-04	-2.8363301364171871e-04	6.7809212486405913e-06	-1.4520696744517965e-04	2.5424928697816923e-03	-1.2802020305835264e-02	1.7764899722816763e-01	7.6022478308248542e-02	1.0162651891991907e-01
