# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	h_solver                	h_initial               	h_final                 	h_iters                 	h_converged             	nuTilda_solver          	nuTilda_initial         	nuTilda_final           	nuTilda_iters           	nuTilda_converged       	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
25                      	DILUPBiCGStab	2.5028914653863979e-05	6.0509902923338895e-08	1	8.7646181043200475e-04	5.9816441186233838e-06	1	1.3061451027138010e-05	9.7067369743644351e-08	1	false	DILUPBiCGStab	1.2251291284199150e-04	8.2967682993002639e-07	1	true	DILUPBiCGStab	1.2928387125216399e-03	4.7447281957392823e-06	1	true	GAMG	1.5745273211011379e-02	1.4444249689871060e-04	9	true
26                      	DILUPBiCGStab	1.8673716873191809e-05	4.1090737088018442e-08	1	1.0903834960126610e-03	9.9958091999373869e-06	1	1.3094141727197780e-05	7.3073522006717034e-08	1	false	DILUPBiCGStab	1.1534861889773850e-04	6.5685234114240903e-07	1	true	DILUPBiCGStab	8.7087189909279626e-04	3.7545785520356009e-06	1	true	GAMG	2.4442730613257139e-02	1.7214196658321999e-04	10	true
27                      	DILUPBiCGStab	1.4215869745659030e-05	2.8779560306029429e-08	1	1.1717568922046280e-03	3.4889424266548100e-06	2	1.3741059501237749e-05	6.9376691560536498e-08	1	false	DILUPBiCGStab	1.1159504392778751e-04	6.0843989201211113e-07	1	true	DILUPBiCGStab	3.7560284840816252e-04	1.1462116423078990e-06	1	true	GAMG	3.0290983309103289e-02	2.9214317754775002e-04	8	true
28                      	DILUPBiCGStab	1.8043153199741480e-05	3.1419970016419267e-08	1	1.0274945925738820e-03	4.2132864231965247e-06	2	1.3415028173992251e-05	6.7367457252147230e-08	1	false	DILUPBiCGStab	1.0452265747850930e-04	5.9798329794872720e-07	1	true	DILUPBiCGStab	1.6726726148775801e-04	6.4065586545574317e-07	1	true	GAMG	2.1190970220472779e-02	2.1164896929597670e-04	8	true
29                      	DILUPBiCGStab	2.2565328684528740e-05	3.3714320796352017e-08	1	8.2826272696153109e-04	8.3954397058964167e-07	2	1.2166317205786709e-05	6.3284657083478710e-08	1	false	DILUPBiCGStab	9.6301270695446349e-05	5.8267991857542775e-07	1	true	DILUPBiCGStab	1.5371449290376549e-04	4.8287402170416513e-07	1	true	GAMG	1.2560950696353939e-02	9.5791039802526013e-05	9	true
30                      	DILUPBiCGStab	2.1371276660876309e-05	3.2263009967471188e-08	1	8.1255439922349026e-04	5.1022477542606840e-06	1	1.1875369788018810e-05	6.0081382764023139e-08	1	false	DILUPBiCGStab	9.1422275434669870e-05	5.7465208161757205e-07	1	true	DILUPBiCGStab	9.8651467939914940e-05	3.4757829595974291e-07	1	true	GAMG	7.7689388949612730e-03	6.2894488047299038e-05	9	true
31                      	DILUPBiCGStab	1.6264457394038411e-05	2.4325483794364051e-08	1	8.4600141136988085e-04	5.6192156031721038e-06	1	1.1935582540479259e-05	6.2625020772782409e-08	1	false	DILUPBiCGStab	9.0882152568066336e-05	5.7061148529245722e-07	1	true	DILUPBiCGStab	1.0731862419189470e-04	3.1705211599889801e-07	1	true	GAMG	5.5972426212347040e-03	5.5368344397381269e-05	9	true
32                      	DILUPBiCGStab	1.0854547780516479e-05	1.8108725921459239e-08	1	7.8218523738699788e-04	6.6607190214860384e-06	1	1.1402478463277380e-05	6.6960313317628907e-08	1	false	DILUPBiCGStab	8.9965003043851002e-05	5.6170191193602943e-07	1	true	DILUPBiCGStab	6.5246400377637760e-05	2.5602387665153760e-07	1	true	GAMG	5.9308959215010441e-03	3.8976424393048198e-05	10	true
33                      	DILUPBiCGStab	9.7641344367988548e-06	2.3404860998473569e-08	1	6.8575125404038689e-04	6.6640735012825234e-06	1	1.0707212651730180e-05	6.4516300831127346e-08	1	false	DILUPBiCGStab	8.7442120104815003e-05	5.4359739427346135e-07	1	true	DILUPBiCGStab	7.0022430816870068e-05	2.2931625117216709e-07	1	true	GAMG	6.9196683000076146e-03	6.8848169978299301e-05	8	true
34                      	DILUPBiCGStab	1.4194698730720251e-05	2.1262434673646810e-08	1	6.5028449051125260e-04	4.4872420359183600e-06	1	1.0161572603955529e-05	5.0972263154843707e-08	1	false	DILUPBiCGStab	8.3373202922315591e-05	5.1635174155827921e-07	1	true	DILUPBiCGStab	5.4020976940920130e-05	2.2623060181122041e-07	1	true	GAMG	7.1491389943359653e-03	5.6780517790642070e-05	9	true
