# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
21                      	3.5728070616217925e-02	2.1158642622620939e-02	1.4569427993596987e-02	-1.5523145767014032e-03	-8.3928820931694452e-04	-7.1302636738445864e-04	-6.3130920966242898e-05	3.2946073145119757e-03	-5.9041751645825874e-03	1.9978367168979103e-01	9.3987660680312932e-02	1.0579601100947811e-01
22                      	4.1433667110573100e-02	2.3963022365670304e-02	1.7470644744902796e-02	-1.3783280120001316e-03	-8.0607414083285248e-04	-5.7225387116727915e-04	-1.1691013483278662e-04	3.2461888103837550e-03	-5.4561784948505927e-03	2.0094213865155225e-01	9.5014890830925527e-02	1.0592724782062674e-01
23                      	4.1576535610324719e-02	2.3976040651037315e-02	1.7600494959287404e-02	-1.2526676990048608e-03	-7.1885665921666946e-04	-5.3381103978819133e-04	-9.2522809714239051e-05	3.1877728458749536e-03	-5.3433592644774467e-03	2.0032467361845246e-01	9.4818977544748773e-02	1.0550569607370368e-01
24                      	3.7584112483844245e-02	2.1925375782000968e-02	1.5658736701843277e-02	-1.1804764101969135e-03	-6.1786706627502076e-04	-5.6260934392189275e-04	-2.7628861176564058e-05	3.1333195400788448e-03	-5.5195054960226883e-03	1.9863333120891008e-01	9.3797160108432365e-02	1.0483617110047773e-01
25                      	3.1988054863427720e-02	1.9088779355758350e-02	1.2899275507669370e-02	-1.1576980801485239e-03	-5.4792267857257178e-04	-6.0977540157595219e-04	3.0926361501690218e-05	3.0947519240444904e-03	-5.8476648348795030e-03	1.9677451851422245e-01	9.2539594422231711e-02	1.0423492409199073e-01
26                      	2.7155460897071843e-02	1.6650010481519123e-02	1.0505450415552722e-02	-1.1417895931673636e-03	-5.2429778356771306e-04	-6.1749180959965052e-04	4.6597013015968709e-05	3.0722800329832010e-03	-6.1772189394657170e-03	1.9547679907869620e-01	9.1561180599882372e-02	1.0391561847881381e-01
27                      	2.4526578812916294e-02	1.5330462493394771e-02	9.1961163195215245e-03	-1.1194920147434256e-03	-5.4864765240824817e-04	-5.7084436233517742e-04	1.1098354963464602e-05	3.0671730869366240e-03	-6.3979552370785099e-03	1.9506509856948154e-01	9.1134594047662248e-02	1.0393050452181928e-01
28                      	2.4405939672512502e-02	1.5260878513344827e-02	9.1450611591676750e-03	-1.0456802037060882e-03	-5.8777515110966863e-04	-4.5790505259641972e-04	-6.4935049256624442e-05	3.0579086770885756e-03	-6.4680710620516170e-03	1.9547128102943875e-01	9.1267569452667757e-02	1.0420371157677100e-01
29                      	2.6147114857554693e-02	1.6106968680962862e-02	1.0040146176591831e-02	-9.0624489324524671e-04	-6.0893729361003997e-04	-2.9730759963520674e-04	-1.5581484698741664e-04	3.0334112521855144e-03	-6.4082511791889825e-03	1.9636033900412100e-01	9.1771918322871529e-02	1.0458842068124949e-01
30                      	2.8626796346391238e-02	1.7305950891531238e-02	1.1320845454860000e-02	-7.1472827802461687e-04	-5.9181450622583292e-04	-1.2291377179878400e-04	-2.3445036721352441e-04	2.9925527183356183e-03	-6.2805795640091620e-03	1.9731313557557975e-01	9.2375988223780708e-02	1.0493714735179904e-01
31                      	3.0770869667845653e-02	1.8330133477449034e-02	1.2440736190396619e-02	-5.1890247507109240e-04	-5.5203564564477580e-04	3.3133170573683361e-05	-2.9258440810922960e-04	2.9446986435262075e-03	-6.1521809447587419e-03	1.9798957685853399e-01	9.2842607484508261e-02	1.0514696937402573e-01
32                      	3.1920219107345070e-02	1.8858647272285100e-02	1.3061571835059972e-02	-3.4948457973509815e-04	-5.0817209478238321e-04	1.5868751504728498e-04	-3.3342980491483405e-04	2.8985377186125636e-03	-6.0719966234900509e-03	1.9824181602323779e-01	9.3048911388128833e-02	1.0519290463510896e-01
33                      	3.1931813197386111e-02	1.8825255930548457e-02	1.3106557266837651e-02	-2.1609521640625652e-04	-4.7203932527915756e-04	2.5594410887290101e-04	-3.6399171707602928e-04	2.8593493318554036e-03	-6.0590120722400507e-03	1.9811321640765672e-01	9.2997596131588325e-02	1.0511562027606841e-01
34                      	3.1099816428049303e-02	1.8374539771711197e-02	1.2725276656338103e-02	-1.0583387741975164e-04	-4.4620737605350269e-04	3.4037349863375103e-04	-3.9329043734362683e-04	2.8246315576865486e-03	-6.1039609366397192e-03	1.9776795062555144e-01	9.2780014376135991e-02	1.0498793624941544e-01
35                      	2.9935674042171980e-02	1.7755557261900159e-02	1.2180116780271824e-02	7.1918908463806538e-06	-4.2198054691008126e-04	4.2917243775646190e-04	-4.2557649233327158e-04	2.7877202408141677e-03	-6.1789391452458948e-03	1.9739981056389588e-01	9.2520966136702049e-02	1.0487884442719383e-01
36                      	2.8932571171838083e-02	1.7216732897331413e-02	1.1715838274506667e-02	1.2691872770424480e-04	-3.9691655296727281e-04	5.2383528067151766e-04	-4.6037591681939521e-04	2.7504473114123734e-03	-6.2523363790803312e-03	1.9715737513726148e-01	9.2326351189550418e-02	1.0483102394771107e-01
